Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Health & Human Performance,38100.0,61100.0
Music Therapy,43100.0,60700.0
Social Services,39900.0,60500.0
Rehabilitation Services,35800.0,60200.0
Horticulture,43000.0,60100.0
University Studies,42400.0,60000.0
Church Ministries,40000.0,59900.0
Communicative Disorders,47400.0,59800.0
Social Science Teacher Education,45400.0,59800.0
Wildlife Biology,42900.0,59800.0
Community Development,44600.0,59400.0
Psychology & Human Services,35600.0,59400.0
Athletic Training,42100.0,59300.0
Biblical Studies,40500.0,59000.0
Biblical Studies & Practical Ministries,36400.0,58900.0
Counseling Psychology,42700.0,58900.0
Recreational Studies,42100.0,58900.0
Teaching,42000.0,58900.0
Home Economics,41800.0,58700.0
Library & Information Science,48200.0,58700.0
Human Development & Family Studies,40300.0,58600.0
Tourism & Travel,42200.0,58600.0
Landscape Design,49000.0,58500.0
Ceramics,42200.0,58300.0
Clinical Social Work (CSW),43500.0,58300.0
Parks & Recreation Management,42700.0,58300.0
Pastoral Ministry,38700.0,58000.0
Vocal Performance,42600.0,58000.0
Art Teacher Education,40300.0,57500.0
Bible Studies & Theology,40000.0,57500.0
Forensic Accounting,48300.0,57200.0
Communication Sciences & Disorders,43300.0,57100.0
Legal Assistant Studies,38100.0,57100.0
Special Education,41300.0,57000.0
Conservation Biology,42800.0,56900.0
Family Studies,39200.0,56800.0
Christian Ministry,38100.0,56400.0
Speech & Hearing,43300.0,56400.0
Health and Human Services,43500.0,56300.0
Musical Theatre,43500.0,56100.0
History Teacher Education,47700.0,55600.0
Developmental Psychology,38200.0,55000.0
Therapeutic Recreation,39500.0,54900.0
Applied Behavioral Science,40500.0,54600.0
Community & Human Services,42400.0,54600.0
Social Work (SW),38600.0,54600.0
Office Administration,38700.0,54500.0
Ministry,36700.0,54300.0
Family & Community Services,42200.0,54300.0
Youth Ministry,37400.0,54200.0
Elementary Education,40000.0,53800.0
Voice & Opera,34500.0,53300.0
Christian Education,38700.0,53200.0
Conflict Resolution,44400.0,53200.0
Baking & Pastry Arts,37500.0,53000.0
Human Services Management,45600.0,53000.0
Hospitality & The Culinary Arts,38800.0,52900.0
Human Services (HS),38700.0,52500.0
Counseling,39900.0,51700.0
Recreational Therapy,38400.0,51600.0
Child Development,37400.0,51400.0
Educational Psychology,36900.0,51200.0
Middle School Education,41200.0,50800.0
Mental Health Counseling,36100.0,50000.0
Early Childhood & Elementary Education,38000.0,48400.0
Equine Studies,35700.0,47100.0
Addiction Studies,38000.0,47000.0
Child & Family Studies,36400.0,46500.0
Rehabilitation Counseling,39200.0,46400.0
Outdoor Education,37400.0,46300.0
Early Childhood Education,36100.0,45400.0
Mental Health,36900.0,45000.0
Medical Assisting,36000.0,44800.0
Metalsmithing,40000.0,40300.0
